It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    171 |  3.247202 | 0.009034 |      57      | 0.000989 | Yes 
    172 |  3.256236 | 0.008918 |      69      | 0.000993 | Yes 
    173 |  3.265153 | 0.008918 |      171      | 0.000990 | Yes 
    174 |  3.274071 | 0.008165 |      136      | 0.000993 | Yes 
    175 |  3.282236 | 0.008165 |      136      | 0.000996 | Yes 
    176 |  3.290401 | 0.008708 |      133      | 0.000995 | Yes 
    177 |  3.299109 | 0.007684 |      120      | 0.000989 | Yes 
    178 |  3.306793 | 0.007056 |      197      | 0.000991 | Yes 
    179 |  3.313849 | 0.007195 |      128      | 0.000996 | Yes 
    180 |  3.321044 | 0.007170 |      119      | 0.000998 | Yes 
    181 |  3.328214 | 0.007170 |      242      | 0.000995 | Yes 
    182 |  3.335384 | 0.006986 |      125      | 0.000996 | Yes 
    183 |  3.342370 | 0.007084 |      59      | 0.000998 | Yes 
    184 |  3.349454 | 0.006376 |      97      | 0.000987 | Yes 
    185 |  3.355831 | 0.006485 |      115      | 0.000999 | Yes 
    186 |  3.362315 | 0.006485 |      123      | 0.000992 | Yes 
    187 |  3.368800 | 0.007341 |      273      | 0.001000 | Yes 
    188 |  3.376141 | 0.007461 |      296      | 0.000994 | Yes 
    189 |  3.383603 | 0.007461 |      297      | 0.000995 | Yes 
    190 |  3.391064 | 0.006695 |      73      | 0.000999 | Yes 
    191 |  3.397758 | 0.006647 |      61      | 0.000995 | Yes 
    192 |  3.404405 | 0.006936 |      156      | 0.000990 | Yes 
    193 |  3.411341 | 0.006241 |      229      | 0.000999 | Yes 
    194 |  3.417582 | 0.006377 |      85      | 0.000995 | Yes 
    195 |  3.423959 | 0.006377 |      98      | 0.000991 | Yes 
    196 |  3.430335 | 0.006223 |      137      | 0.000990 | Yes 
    197 |  3.436558 | 0.006321 |      130      | 0.000989 | Yes 
    198 |  3.442880 | 0.006321 |      254      | 0.001000 | Yes 
    199 |  3.449201 | 0.006321 |      103      | 0.000990 | Yes 
    200 |  3.455522 | 0.006321 |      233      | 0.000995 | Yes 
    201 |  3.461843 | 0.006321 |      188      | 0.000996 | Yes 
    202 |  3.468164 | 0.006321 |      340      | 0.000993 | Yes 
    203 |  3.474486 | 0.006321 |      327      | 0.000993 | Yes 
    204 |  3.480807 | 0.006321 |      396      | 0.000996 | Yes 
    205 |  3.487128 | 0.006321 |      89      | 0.000984 | Yes 
    206 |  3.493449 | 0.006321 |      248      | 0.000991 | Yes 
    207 |  3.499770 | 0.006321 |      221      | 0.000995 | Yes 
    208 |  3.506092 | 0.005990 |      65      | 0.000975 | Yes 
    209 |  3.512082 | 0.005990 |      185      | 0.000998 | Yes 
    210 |  3.518072 | 0.006321 |      32      | 0.000956 | Yes 
    211 |  3.524394 | 0.004251 |      168      | 0.000998 | Yes 
    212 |  3.528644 | 0.003913 |      89      | 0.000997 | Yes 
    213 |  3.532558 | 0.003510 |      85      | 0.000998 | Yes 
    214 |  3.536067 | 0.003209 |      33      | 0.000968 | Yes 
    215 |  3.539276 | 0.005373 |      262      | 0.000992 | Yes 
    216 |  3.544649 | 0.005330 |      308      | 0.000991 | Yes 
    217 |  3.549980 | 0.005208 |      370      | 0.000995 | Yes 
    218 |  3.555188 | 0.004307 |      392      | 0.000990 | Yes 
    219 |  3.559494 | 0.004484 |      420      | 0.000999 | Yes 
    220 |  3.563978 | 0.004623 |      96      | 0.000994 | Yes 
    221 |  3.568601 | 0.005071 |      106      | 0.000996 | Yes 
    222 |  3.573671 | 0.004146 |      299      | 0.000995 | Yes 
    223 |  3.577817 | 0.004146 |      409      | 0.000996 | Yes 
    224 |  3.581963 | 0.005011 |      389      | 0.000998 | Yes 
    225 |  3.586973 | 0.005011 |      319      | 0.000997 | Yes 
    226 |  3.591984 | 0.004971 |      448      | 0.000999 | Yes 
    227 |  3.596955 | 0.004622 |      413      | 0.000991 | Yes 
    228 |  3.601577 | 0.004622 |      299      | 0.000991 | Yes 
    229 |  3.606199 | 0.003647 |      480      | 0.000991 | Yes 
    230 |  3.609846 | 0.003647 |      468      | 0.000993 | Yes 
